trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",30,0,-202.60727708554813,"{0: 17, 1: 6, 2: 3, 3: 0, 4: 4}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",25,0,-235.97901519862205,"{0: 12, 1: 0, 2: 9, 3: 0, 4: 4}",0
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,15,-73.90043659566265,"{0: 5, 1: 0, 2: 4, 3: 0, 4: 1}",1
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",30,0,-132.87488381357144,"{0: 16, 1: 5, 2: 7, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-202.46809222356896,"{0: 11, 1: 0, 2: 4, 3: 1, 4: 4}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",20,0,-170.79659305305867,"{0: 11, 1: 0, 2: 6, 3: 0, 4: 3}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",25,2,-55.01811253812515,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 1}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",20,15,-32.24925574772499,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 1}",1
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",30,8,-112.88694087518166,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 2}",1
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",25,0,-142.22538864833305,"{0: 17, 1: 1, 2: 4, 3: 0, 4: 3}",0
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",30,7,-103.37859299907433,"{0: 14, 1: 2, 2: 4, 3: 2, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,8,-81.1724523412878,"{0: 8, 1: 1, 2: 1, 3: 0, 4: 2}",1
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",25,0,-68.3502749501921,"{0: 19, 1: 2, 2: 2, 3: 1, 4: 1}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,0,-57.184934825192435,"{0: 22, 1: 2, 2: 4, 3: 2, 4: 0}",0
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",30,10,-118.93542495398982,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 3}",1
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",20,0,-99.9597837326535,"{0: 11, 1: 3, 2: 4, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,2,0.8645292037476946,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",20,9,5.623140875220533,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",20,0,-48.00448808969207,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",20,0,-27.571684328899785,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
1,True,"{'a': 0, 'e': 0}",20,8,-43.24304189048334,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 1}",1
2,True,"{'a': 0, 'e': 0}",20,0,-25.317434384180096,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
3,True,"{'a': 0, 'e': 0}",20,3,13.966568952199399,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,10,-74.46653282085074,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",1
5,True,"{'a': 0, 'e': 0}",20,0,-24.225934536388873,"{0: 18, 1: 0, 2: 1, 3: 0, 4: 1}",0
6,True,"{'a': 0, 'e': 0}",25,5,-5.03098621612786,"{0: 17, 1: 0, 2: 3, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,2,-74.26819879179936,"{0: 15, 1: 0, 2: 1, 3: 0, 4: 2}",1
8,True,"{'a': 0, 'e': 0}",30,0,-37.818392144067374,"{0: 28, 1: 0, 2: 0, 3: 0, 4: 2}",0
9,True,"{'a': 0, 'e': 0}",20,11,-18.15453411616352,"{0: 6, 1: 0, 2: 3, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",25,11,-21.028942307881564,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 1}",1
