trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.001, 'e': 1.0}",30,15,-40.840908861389046,"{0: 10, 1: 1, 2: 3, 3: 1, 4: 0}",1
2,False,"{'a': 0.001, 'e': 0.999000499833375}",20,0,-52.729573964417476,"{0: 13, 1: 3, 2: 3, 3: 1, 4: 0}",0
3,False,"{'a': 0.001, 'e': 0.9980019986673331}",20,0,-65.50940469755749,"{0: 12, 1: 3, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.001, 'e': 0.997004495503373}",20,0,-47.158808212990195,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
5,False,"{'a': 0.001, 'e': 0.9960079893439915}",25,14,-19.33280354634818,"{0: 7, 1: 2, 2: 2, 3: 0, 4: 0}",1
6,False,"{'a': 0.001, 'e': 0.9950124791926823}",30,0,-112.07830240237469,"{0: 21, 1: 3, 2: 4, 3: 0, 4: 2}",0
7,False,"{'a': 0.001, 'e': 0.9940179640539353}",20,0,-99.70039369861976,"{0: 10, 1: 4, 2: 5, 3: 0, 4: 1}",0
8,False,"{'a': 0.001, 'e': 0.9930244429332351}",20,0,-107.5598662734827,"{0: 12, 1: 0, 2: 6, 3: 1, 4: 1}",0
9,False,"{'a': 0.001, 'e': 0.9920319148370607}",25,0,-196.80244545328142,"{0: 14, 1: 1, 2: 5, 3: 2, 4: 3}",0
10,False,"{'a': 0.001, 'e': 0.9910403787728836}",25,0,-96.03553528377384,"{0: 15, 1: 6, 2: 2, 3: 1, 4: 1}",0
11,False,"{'a': 0.001, 'e': 0.9900498337491681}",30,15,-40.89181429066335,"{0: 9, 1: 3, 2: 2, 3: 1, 4: 0}",1
12,False,"{'a': 0.001, 'e': 0.9890602787753687}",25,0,-153.65547061760907,"{0: 14, 1: 6, 2: 2, 3: 0, 4: 3}",0
13,False,"{'a': 0.001, 'e': 0.9880717128619305}",30,0,-73.90946037413991,"{0: 22, 1: 2, 2: 5, 3: 0, 4: 1}",0
14,False,"{'a': 0.001, 'e': 0.9870841350202876}",20,0,-137.33331510857147,"{0: 8, 1: 3, 2: 7, 3: 1, 4: 1}",0
15,False,"{'a': 0.001, 'e': 0.9860975442628619}",30,0,-219.8271626796414,"{0: 17, 1: 5, 2: 3, 3: 1, 4: 4}",0
16,False,"{'a': 0.001, 'e': 0.9851119396030626}",20,0,-149.4377130747121,"{0: 10, 1: 3, 2: 4, 3: 1, 4: 2}",0
17,False,"{'a': 0.001, 'e': 0.9841273200552851}",25,0,-143.6535554564486,"{0: 11, 1: 5, 2: 5, 3: 4, 4: 0}",0
18,False,"{'a': 0.001, 'e': 0.9831436846349096}",20,0,-221.85367771508234,"{0: 9, 1: 2, 2: 4, 3: 1, 4: 4}",0
