trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.999}",20,0,-90.08192741030656,"{0: 10, 1: 1, 2: 8, 3: 1, 4: 0}",0
2,False,"{'a': 0.5, 'e': 0.998}",20,0,-126.85959063374017,"{0: 11, 1: 3, 2: 4, 3: 0, 4: 2}",0
3,False,"{'a': 0.5, 'e': 0.997}",25,0,-122.24671882960317,"{0: 15, 1: 5, 2: 3, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 0.996}",30,0,-229.27082773215645,"{0: 16, 1: 4, 2: 6, 3: 0, 4: 4}",0
5,False,"{'a': 0.5, 'e': 0.995}",25,0,-101.17531116726215,"{0: 14, 1: 6, 2: 4, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.994}",25,0,-78.33518443463791,"{0: 17, 1: 2, 2: 4, 3: 2, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.993}",35,0,-241.31291095563154,"{0: 16, 1: 5, 2: 8, 3: 4, 4: 2}",0
8,False,"{'a': 0.5, 'e': 0.992}",20,0,-82.13472067696215,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.991}",25,0,-128.4729467256765,"{0: 16, 1: 2, 2: 4, 3: 1, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.99}",20,0,-121.76018819632067,"{0: 11, 1: 2, 2: 4, 3: 2, 4: 1}",0
11,False,"{'a': 0.5, 'e': 0.989}",25,0,-12.09903550696311,"{0: 20, 1: 3, 2: 2, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.988}",25,0,-135.08101281914395,"{0: 15, 1: 2, 2: 6, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 0.987}",20,0,-212.60693577055272,"{0: 9, 1: 3, 2: 3, 3: 1, 4: 4}",0
14,False,"{'a': 0.5, 'e': 0.986}",25,0,-159.14204082458167,"{0: 9, 1: 7, 2: 6, 3: 2, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.985}",25,0,-131.7254045589523,"{0: 15, 1: 5, 2: 1, 3: 2, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.984}",20,0,-102.19350150108964,"{0: 11, 1: 4, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.983}",20,0,-46.33880364845868,"{0: 12, 1: 4, 2: 4, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.982}",30,0,-161.61896488820477,"{0: 16, 1: 4, 2: 6, 3: 3, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.981}",25,0,-188.4218334785824,"{0: 15, 1: 3, 2: 3, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 0.98}",20,0,-140.42458940093618,"{0: 9, 1: 3, 2: 5, 3: 2, 4: 1}",0
21,False,"{'a': 0.5, 'e': 0.979}",25,9,-61.001545928403495,"{0: 11, 1: 1, 2: 3, 3: 0, 4: 1}",1
22,False,"{'a': 0.5, 'e': 0.978}",30,0,-167.94588312457623,"{0: 16, 1: 6, 2: 4, 3: 2, 4: 2}",0
23,False,"{'a': 0.5, 'e': 0.977}",20,0,-84.90374046466212,"{0: 12, 1: 2, 2: 5, 3: 0, 4: 1}",0
24,False,"{'a': 0.5, 'e': 0.976}",20,13,-9.525921792142313,"{0: 5, 1: 0, 2: 2, 3: 0, 4: 0}",1
25,False,"{'a': 0.5, 'e': 0.975}",20,0,2.266069571725078,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 0}",0
26,False,"{'a': 0.5, 'e': 0.974}",20,0,-154.9937188832476,"{0: 9, 1: 1, 2: 8, 3: 0, 4: 2}",0
27,False,"{'a': 0.5, 'e': 0.973}",25,0,-233.65470039712983,"{0: 11, 1: 3, 2: 5, 3: 3, 4: 3}",0
28,False,"{'a': 0.5, 'e': 0.972}",20,0,-56.206147297093324,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
29,False,"{'a': 0.5, 'e': 0.971}",20,0,-128.08840999547778,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 2}",0
30,False,"{'a': 0.5, 'e': 0.97}",20,14,-15.13983334111936,"{0: 4, 1: 0, 2: 2, 3: 0, 4: 0}",1
31,False,"{'a': 0.5, 'e': 0.969}",20,0,-72.02307646281027,"{0: 14, 1: 1, 2: 4, 3: 0, 4: 1}",0
32,False,"{'a': 0.5, 'e': 0.968}",25,0,-118.01758424826387,"{0: 16, 1: 4, 2: 2, 3: 1, 4: 2}",0
33,False,"{'a': 0.5, 'e': 0.967}",25,0,-105.83508041518641,"{0: 16, 1: 3, 2: 3, 3: 2, 4: 1}",0
34,False,"{'a': 0.5, 'e': 0.966}",20,0,-72.21890791518823,"{0: 13, 1: 3, 2: 1, 3: 3, 4: 0}",0
35,False,"{'a': 0.5, 'e': 0.965}",20,0,-115.80943645939375,"{0: 9, 1: 3, 2: 7, 3: 0, 4: 1}",0
36,False,"{'a': 0.5, 'e': 0.964}",25,0,-105.30650486041603,"{0: 15, 1: 1, 2: 8, 3: 0, 4: 1}",0
37,False,"{'a': 0.5, 'e': 0.963}",20,0,-50.18018675466743,"{0: 11, 1: 5, 2: 4, 3: 0, 4: 0}",0
38,False,"{'a': 0.5, 'e': 0.962}",30,0,-124.05222251119423,"{0: 17, 1: 5, 2: 6, 3: 1, 4: 1}",0
39,False,"{'a': 0.5, 'e': 0.961}",20,0,-62.085012075454586,"{0: 15, 1: 1, 2: 3, 3: 0, 4: 1}",0
40,False,"{'a': 0.5, 'e': 0.96}",25,0,-188.40873640155795,"{0: 13, 1: 4, 2: 4, 3: 1, 4: 3}",0
41,False,"{'a': 0.5, 'e': 0.959}",20,0,-83.86717729244037,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
42,False,"{'a': 0.5, 'e': 0.958}",25,0,-232.57299532358516,"{0: 9, 1: 7, 2: 3, 3: 3, 4: 3}",0
43,False,"{'a': 0.5, 'e': 0.957}",20,0,-200.31316023569747,"{0: 9, 1: 0, 2: 7, 3: 1, 4: 3}",0
44,False,"{'a': 0.5, 'e': 0.956}",20,0,-53.29510122401475,"{0: 13, 1: 1, 2: 6, 3: 0, 4: 0}",0
45,False,"{'a': 0.5, 'e': 0.955}",20,0,-88.35388858939902,"{0: 14, 1: 0, 2: 4, 3: 1, 4: 1}",0
46,False,"{'a': 0.5, 'e': 0.954}",30,0,-117.48146898683686,"{0: 21, 1: 3, 2: 3, 3: 1, 4: 2}",0
47,False,"{'a': 0.5, 'e': 0.953}",25,0,-93.29645686896667,"{0: 16, 1: 4, 2: 3, 3: 1, 4: 1}",0
48,False,"{'a': 0.5, 'e': 0.952}",20,0,-182.524912344053,"{0: 10, 1: 0, 2: 7, 3: 0, 4: 3}",0
49,False,"{'a': 0.5, 'e': 0.951}",20,0,-86.05433525590897,"{0: 15, 1: 1, 2: 2, 3: 0, 4: 2}",0
50,False,"{'a': 0.5, 'e': 0.95}",25,0,-148.60820960005137,"{0: 11, 1: 4, 2: 8, 3: 1, 4: 1}",0
51,False,"{'a': 0.5, 'e': 0.949}",20,0,-86.15426362176464,"{0: 9, 1: 3, 2: 8, 3: 0, 4: 0}",0
52,False,"{'a': 0.5, 'e': 0.948}",30,10,-37.47890498070496,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",1
53,False,"{'a': 0.5, 'e': 0.947}",20,0,-60.71823594656294,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
