trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",20,0,-125.31484246342019,"{0: 14, 1: 2, 2: 1, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",30,0,-110.51165979638101,"{0: 17, 1: 4, 2: 7, 3: 2, 4: 0}",0
3,False,"{'a': 0.5, 'e': 1.0}",25,0,-83.93080981821358,"{0: 13, 1: 7, 2: 4, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-107.40758705309008,"{0: 10, 1: 5, 2: 3, 3: 1, 4: 1}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,0,-28.82561284144748,"{0: 14, 1: 3, 2: 3, 3: 0, 4: 0}",0
6,False,"{'a': 0.5, 'e': 1.0}",20,12,-13.165505441562003,"{0: 4, 1: 4, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 1.0}",20,0,-58.50312033645891,"{0: 14, 1: 2, 2: 2, 3: 2, 4: 0}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-82.13998105345789,"{0: 19, 1: 4, 2: 0, 3: 0, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",25,0,-120.00623199180933,"{0: 11, 1: 8, 2: 4, 3: 1, 4: 1}",0
10,False,"{'a': 0.5, 'e': 1.0}",25,0,-97.74684496186721,"{0: 16, 1: 3, 2: 4, 3: 1, 4: 1}",0
11,False,"{'a': 0.5, 'e': 1.0}",30,0,-65.50990665893741,"{0: 20, 1: 5, 2: 4, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",25,0,-53.05858210434013,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-115.10604811444178,"{0: 16, 1: 5, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 1.0}",20,0,-71.27511367938047,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 1.0}",25,0,-127.01450062288781,"{0: 16, 1: 3, 2: 3, 3: 1, 4: 2}",0
16,False,"{'a': 0.5, 'e': 1.0}",25,0,-146.25714896733223,"{0: 12, 1: 6, 2: 5, 3: 0, 4: 2}",0
17,False,"{'a': 0.5, 'e': 1.0}",25,0,-90.85461506640704,"{0: 16, 1: 5, 2: 2, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-91.8262661358682,"{0: 10, 1: 2, 2: 7, 3: 1, 4: 0}",0
19,False,"{'a': 0.5, 'e': 1.0}",30,0,-195.1553362480829,"{0: 18, 1: 4, 2: 4, 3: 0, 4: 4}",0
20,False,"{'a': 0.5, 'e': 1.0}",30,0,-91.16788558995773,"{0: 21, 1: 5, 2: 1, 3: 2, 4: 1}",0
1,True,"{'a': 0.5, 'e': 1.0}",25,0,-80.49492646234897,"{0: 16, 1: 5, 2: 3, 3: 0, 4: 1}",0
2,True,"{'a': 0.5, 'e': 1.0}",20,3,-65.37720761873501,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 0}",1
3,True,"{'a': 0.5, 'e': 1.0}",20,0,-78.8007908255721,"{0: 10, 1: 4, 2: 5, 3: 1, 4: 0}",0
4,True,"{'a': 0.5, 'e': 1.0}",20,0,-46.42716294499616,"{0: 14, 1: 2, 2: 3, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",30,0,-177.60052372345612,"{0: 17, 1: 5, 2: 3, 3: 3, 4: 2}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-87.1325467457445,"{0: 12, 1: 4, 2: 2, 3: 1, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",30,0,-75.55420504850923,"{0: 18, 1: 7, 2: 4, 3: 1, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,0,-117.30097841584619,"{0: 10, 1: 5, 2: 2, 3: 2, 4: 1}",0
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-35.50488713800192,"{0: 12, 1: 5, 2: 3, 3: 0, 4: 0}",0
10,True,"{'a': 0.5, 'e': 1.0}",30,0,-130.56054793574233,"{0: 20, 1: 6, 2: 1, 3: 0, 4: 3}",0
